"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AGM^C","Federal Agricultural Mortgage Corporation","27.57","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^c",
"AGM^D","Federal Agricultural Mortgage Corporation","26.67","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^d",
"AGM^E","Federal Agricultural Mortgage Corporation","26.66","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^e",
"AGM^F","Federal Agricultural Mortgage Corporation","26","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agm^f",
"FRT","Federal Realty Investment Trust","83.58","$6.32B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/frt",
"FRT^C","Federal Realty Investment Trust","26.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/frt^c",
"FSS","Federal Signal Corporation","31.44","$1.9B","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/fss",
"FMN","Federated Hermes Premier Municipal Income Fund","14.38","$165.36M","2002","n/a","n/a","https://old.nasdaq.com/symbol/fmn",
"FHI","Federated Hermes, Inc.","22.94","$2.3B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/fhi",
"FDX","FedEx Corporation","250.3","$65.58B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/fdx",
"RACE","Ferrari N.V.","188.85","$46.85B","2015","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/race",
"FOE","Ferro Corporation","12.55","$1.03B","n/a","Basic Industries","Paints/Coatings","https://old.nasdaq.com/symbol/foe",
"FCAU","Fiat Chrysler Automobiles N.V.","12.65","$25.6B","2014","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/fcau",
"FNF","Fidelity National Financial, Inc.","33.44","$9.76B","2014","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/fnf",
"FIS","Fidelity National Information Services, Inc.","148.67","$92.12B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/fis",
"FMO","Fiduciary/Claymore Energy Infrastructure Fund","7.93","$56.21M","2004","n/a","n/a","https://old.nasdaq.com/symbol/fmo",
"FINV","FinVolution Group","1.71","$522.82M","2017","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/finv",
"FAF","First American Corporation (The)","52.55","$5.86B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/faf",
"FBP","First BanCorp.","5.66","$1.23B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fbp",
"FCF","First Commonwealth Financial Corporation","7.75","$760.53M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcf",
"FCRW","First Eagle Alternative Capital BDC, Inc.","24.4609","n/a","2018","n/a","n/a","https://old.nasdaq.com/symbol/fcrw",
"FCRZ","First Eagle Alternative Capital BDC, Inc.","24.85","n/a","2015","n/a","n/a","https://old.nasdaq.com/symbol/fcrz",
"FSLF","First Eagle Senior Loan Fund","12.65","$93.85M","2013","n/a","n/a","https://old.nasdaq.com/symbol/fslf",
"FHN","First Horizon National Corporation","9.82","$5.44B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fhn",
"FHN^A","First Horizon National Corporation","26.34","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^a",
"FHN^B","First Horizon National Corporation","26.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhn^b",
